invoice_id,line_item_id,user_id,item_id,item_name,item_category,price,created_at,paid_at
26020,144835,116901,2589,miniature dongle cleaner,dongle,9.9,13-04-16 3:55,14-04-16 23:14
26020,124963,116901,943,extra-strength dongle,dongle,60,13-04-16 3:55,14-04-16 23:14
138844,165355,5735,2580,analog contraption,contraption,225,08-11-13 0:18,08-11-13 21:47
346753,290350,133645,2842,reflective instrument,instrument,57.2,15-10-16 10:22,14-10-16 6:20
387433,104681,219559,3051,instrument,instrument,44,13-01-18 4:44,13-01-18 19:58
387433,137444,219559,580,industrial-strength instrument cleaner,instrument,79.2,13-01-18 4:44,13-01-18 19:58
387433,276769,219559,3096,matte instrument wrapper,instrument,22,13-01-18 4:44,13-01-18 19:58
387433,290360,219559,3965,fuzzy instrument,instrument,44,13-01-18 4:44,13-01-18 19:58
275242,265040,95287,1603,apparatus,apparatus,300,05-01-16 8:39,03-01-16 11:37
275242,39449,95287,52,reflective apparatus opener,apparatus,195,05-01-16 8:39,03-01-16 11:37
275242,76805,95287,3391,fuzzy apparatus,apparatus,300,05-01-16 8:39,03-01-16 11:37
275242,176459,95287,918,fuzzy apparatus how-to-manual,apparatus,0,05-01-16 8:39,03-01-16 11:37
41247,97666,251476,1896,aerodynamic gadget charger,gadget,24.92,22-12-17 12:24,24-12-17 16:18
41247,112211,251476,2152,fuzzy gadget wrapper,gadget,35.6,22-12-17 12:24,24-12-17 16:18
272483,313476,92894,2241,aerodynamic widget opener,widget,2.1,27-04-16 5:15,30-04-16 1:35
272483,69746,92894,3142,rechargable widget refill,widget,3.12,27-04-16 5:15,30-04-16 1:35
162864,233428,135677,2899,extra-strength tool,tool,50,08-10-16 5:12,09-10-16 12:33
305749,365508,109381,2440,analog contraption opener,contraption,112.5,09-01-16 11:37,09-01-16 18:15
305749,260972,109381,2512,fuzzy contraption carrying_case,contraption,150,09-01-16 11:37,09-01-16 18:15
297971,86434,251250,1171,fuzzy module,module,100,10-03-18 20:51,12-03-18 15:22
297971,68437,251250,3904,reflective module opener,module,65,10-03-18 20:51,12-03-18 15:22
297971,126706,251250,2454,extra-strength module how-to-manual,module,0,10-03-18 20:51,12-03-18 15:22
297971,5315,251250,2590,matte module,module,125,10-03-18 20:51,12-03-18 15:22
277361,4792,269204,3207,industrial-strength dongle refill,dongle,72,06-04-18 7:00,04-04-18 12:38
277361,149257,269204,371,industrial-strength dongle opener,dongle,45,06-04-18 7:00,04-04-18 12:38
277361,225986,269204,3947,dongle cleaner,dongle,18,06-04-18 7:00,04-04-18 12:38
277361,106293,269204,1037,fuzzy dongle carrying_case,dongle,18,06-04-18 7:00,04-04-18 12:38
374247,283111,56056,1683,industrial-strength tool carrying_case,tool,45,03-02-15 14:25,04-02-15 15:41
336365,22776,126302,2174,glossy instrument,instrument,52.8,06-10-16 16:22,05-10-16 6:27
224552,389837,10358,1163,extra-strength gadget how-to-manual,gadget,0,12-11-13 8:44,10-11-13 14:53
344515,15060,26011,3814,industrial-strength module refill,module,240,28-09-14 18:28,27-09-14 1:02
344515,201694,26011,1166,miniature module storage_unit,module,137.5,28-09-14 18:28,27-09-14 1:02
283734,234116,188732,3978,fuzzy dongle,dongle,30,08-04-17 12:25,09-04-17 21:04
283734,283871,188732,1741,digital dongle,dongle,33,08-04-17 12:25,09-04-17 21:04
283734,121794,188732,2182,reflective dongle,dongle,39,08-04-17 12:25,09-04-17 21:04
214073,99215,226006,3841,organic apparatus,apparatus,450,23-08-17 0:21,21-08-17 19:45
214073,275568,226006,67,rechargable apparatus,apparatus,390,23-08-17 0:21,21-08-17 19:45
214073,263778,226006,1474,apparatus opener,apparatus,150,23-08-17 0:21,21-08-17 19:45
214073,77304,226006,475,miniature apparatus refill,apparatus,132,23-08-17 0:21,21-08-17 19:45
1347,181821,11244,404,industrial-strength instrument charger,instrument,26.4,13-04-14 18:23,15-04-14 1:09
1347,162128,11244,2996,instrument carrying_case,instrument,26.4,13-04-14 18:23,15-04-14 1:09
1347,13719,11244,3994,fuzzy instrument cleaner,instrument,26.4,13-04-14 18:23,15-04-14 1:09
338635,37663,203651,3831,glossy gadget storage_unit,gadget,267,15-11-17 19:07,18-11-17 3:03
338635,396611,203651,1530,matte gadget carrying_case,gadget,66.75,15-11-17 19:07,18-11-17 3:03
338635,227913,203651,3188,prize-winning gadget,gadget,97.9,15-11-17 19:07,18-11-17 3:03
338635,148830,203651,217,glossy gadget carrying_case,gadget,64.08,15-11-17 19:07,18-11-17 3:03
158247,2471,265315,283,prize-winning dongle carrying_case,dongle,19.8,01-04-18 1:02,31-03-18 13:12
158247,251841,265315,3987,rechargable dongle,dongle,39,01-04-18 1:02,31-03-18 13:12
158247,30402,265315,1902,analog dongle storage_unit,dongle,67.5,01-04-18 1:02,31-03-18 13:12
158247,395085,265315,835,matte dongle refill,dongle,30,01-04-18 1:02,31-03-18 13:12
232932,102375,16693,2079,gadget storage_unit,gadget,222.5,05-04-14 21:31,06-04-14 8:13
232932,334320,16693,217,glossy gadget carrying_case,gadget,64.08,05-04-14 21:31,06-04-14 8:13
232932,7064,16693,3673,extra-strength gadget,gadget,178,05-04-14 21:31,06-04-14 8:13
347206,299453,109927,511,extra-strength mechanism storage_unit,mechanism,75,05-05-16 23:25,07-05-16 18:00
347206,245912,109927,1132,aerodynamic mechanism,mechanism,21,05-05-16 23:25,07-05-16 18:00
347206,390789,109927,2949,glossy mechanism refill,mechanism,14.4,05-05-16 23:25,07-05-16 18:00
347206,258680,109927,2568,mechanism,mechanism,15,05-05-16 23:25,07-05-16 18:00
64887,397793,243114,2691,miniature apparatus,apparatus,165,09-01-18 23:50,10-01-18 9:58
