adjective,instrument,created_at,id,modifier,name,price
reflective,gadget,20-04-13 3:43,864,how-to-manual,reflective gadget how-to-manual,0
fuzzy,mechanism,23-08-13 11:47,2153,,fuzzy mechanism,15
organic,device,14-06-13 2:24,2121,,organic device,75
reflective,module,19-03-13 1:05,3904,opener,reflective module opener,65
analog,module,20-09-13 9:57,3984,,analog module,90
digital,instrument,27-03-13 9:27,1648,warmer,digital instrument warmer,53.24
fuzzy,gadget,24-08-13 19:01,2479,storage_unit,fuzzy gadget storage_unit,222.5
extra-strength,mechanism,02-01-14 12:47,2531,,extra-strength mechanism,30
,instrument,29-11-13 18:12,586,,instrument,44
extra-strength,instrument,05-02-14 5:32,224,warmer,extra-strength instrument warmer,96.8
aerodynamic,dongle,09-06-13 9:07,2062,,aerodynamic dongle,42
digital,module,29-07-13 8:26,3610,,digital module,110
miniature,tool,11-12-13 6:55,1205,carrying_case,miniature tool carrying_case,8.25
digital,tool,05-08-13 8:10,1585,,digital tool,27.5
reflective,dongle,14-03-13 7:38,1315,carrying_case,reflective dongle carrying_case,23.4
organic,mechanism,04-08-13 21:32,1368,wrapper,organic mechanism wrapper,9
